code,name,is_iso_like,reason
A59,A59,False,non_un_member
A79,A79,False,non_un_member
ABW,ABW,True,non_un_member
AIA,AIA,True,non_un_member
ASM,ASM,True,non_un_member
ATA,ATA,True,non_un_member
ATB,ATB,True,non_un_member
ATF,ATF,True,non_un_member
BES,BES,True,non_un_member
BLM,BLM,True,non_un_member
BMU,BMU,True,non_un_member
BVT,BVT,True,non_un_member
CCK,CCK,True,non_un_member
COK,COK,True,non_un_member
CUW,CUW,True,non_un_member
CXR,CXR,True,non_un_member
CYM,CYM,True,non_un_member
E19,E19,False,non_un_member
ESH,ESH,True,non_un_member
F19,F19,False,non_un_member
FLK,FLK,True,non_un_member
FRO,FRO,True,non_un_member
GIB,GIB,True,non_un_member
GRL,GRL,True,non_un_member
GUM,GUM,True,non_un_member
HKG,HKG,True,non_un_member
HMD,HMD,True,non_un_member
IOT,IOT,True,non_un_member
MAC,MAC,True,non_un_member
MNP,MNP,True,non_un_member
MSR,MSR,True,non_un_member
NCL,NCL,True,non_un_member
NFK,NFK,True,non_un_member
NIU,NIU,True,non_un_member
O19,O19,False,non_un_member
PCN,PCN,True,non_un_member
PSE,PSE,True,non_un_member
PYF,PYF,True,non_un_member
S19,S19,False,non_un_member
SGS,SGS,True,non_un_member
SHN,SHN,True,non_un_member
SPM,SPM,True,non_un_member
SXM,SXM,True,non_un_member
TCA,TCA,True,non_un_member
TKL,TKL,True,non_un_member
UMI,UMI,True,non_un_member
VAT,VAT,True,non_un_member
VGB,VGB,True,non_un_member
W00,World (All partners),False,non_un_member
WLF,WLF,True,non_un_member
X1,X1,False,non_un_member
X2,X2,False,non_un_member
XX,XX,False,non_un_member
_X,Areas not elsewhere specified (NES),False,non_un_member
